Date,input_name,input_id,level_name,level_id,activity_name,activity_id,v1,v7,v30,v90,c1,c7,c30,c90
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/10/09,input name,5345641,level name 01,20255894,activity name 01,12013725,0,0,0,0,0,0,4,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/09/23,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/10/05,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/10/05,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/10/05,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/10/05,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/10/05,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/10/05,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/10/05,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/10/05,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/10/05,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/10/05,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/10/05,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
2018/10/05,input name,5345641,level name 03,20255900,activity name 01,12013725,0,0,0,0,0,0,2,0
